cities_id,role,name,dt_birth,email,phone,password
23,client,Andrew Binner,1990-12-25,fdgdh@mail.ru,89321587463,Hngfjncby3
11,executive,Karrie Buttress,2000-08-10,kbuttress0@1und1.de,89115256354,JcfoKBYAB4k
52,executive,Bob Aymer,1978-12-21,baymer1@hp.com,89202658874,ZEE54kg
43,client,Zilvia Boulding,1986-07-25,zboulding2@macromedia.com,89096356585,VJyMV1Zat
9,client,Emalee Mollon,1993-11-13,emollon3@bloglovin.com,89635254785,XUIeJ693h
12,executive,Maria Mulberry,1975-07-20,mmulberry4@cmu.edu,89632524785,oWspnl
25,executive,Levey By,1988-02-12,lby5@mozilla.com,89115459215,GdtcUU
30,client,Baron Eates,1968-05-03,beates6@last.fm,89654223555,UQw6VeA
17,client,Trip Vink,1972-01-13,tvink7@fotki.com,89632587412,49znXd7haFGz
4,executive,Boonie Terbeck,1985-09-15,bterbeck8@about.me,85196354785,unCjJTF7sjs
40,executive,Alonzo Traviss,1989-09-25,atraviss9@auda.org.au,89332289173,dLuVMAg
33,client,Natassia Wittering,1980-10-20,nwitteringa@google.com.br,89632213161,tQlUG4n
67,client,Felice Brooke,1985-05-13,fbrookeb@nba.com,89634567891,s9y9Mcfgy1g
44,client,Carlen Viccary,1998-01-26,cviccaryc@amazon.co.uk,89235587979,9qd747vh
55,executive,Hendrik Gethings,1974-07-18,hgethingsd@sogou.com,89632258745,zzN5c4
